avis,texte_clean,sentiment,label,application,note
"J’ai souscrit au service de carte virtuelle le 12 mai 2026 et le contrat a bien été signé, mais depuis plus de 24h (3 jours) ma carte virtuelle (à usage unique) reste bloquée sur “En cours d’activation”. Pourtant l’application indique que l’activation est censée être instantanée. Impossible donc d’utiliser le service malgré la validation de la demande. Merci de corriger rapidement ce dysfonctionnement technique car c’est très frustrant pour les utilisateurs.","j ai souscrit au service de carte virtuelle le mai et le contrat a bien été signé, mais depuis plus de 24h jours ma carte virtuelle à usage unique reste bloquée sur en cours d activation . pourtant l application indique que l activation est censée être instantanée. impossible donc d utiliser le service malgré la validation de la demande. merci de corriger rapidement ce dysfonctionnement technique car c est très frustrant pour les utilisateurs.",negative,0,Attijari Mobile,1
problème de mise en ligne les annonces,problème de mise en ligne les annonces,neutral,1,Avito,3
très bonne application,très bonne application,positive,2,CIH Mobile,5
Impossible de l'ouvrir depuis la dernière maj.,impossible de l'ouvrir depuis la dernière maj.,negative,0,My inwi,1
"je trouve du mal à ouvrir un compte, chaque étape une erreur apparaît et je serais obligé de contacter le support, aucune solution n'est donnée juste attendre une journée et puis réessayer.","je trouve du mal à ouvrir un compte, chaque étape une erreur apparaît et je serais obligé de contacter le support, aucune solution n'est donnée juste attendre une journée et puis réessayer.",negative,0,CIH Mobile,1
"Franchement service catastrophique ! Glovo c’est vraiment de pire en pire. Aucun service client, aucune assistance, personne pour répondre en cas de problème. Tu paies, tu attends et s’il y a un souci… débrouille-toi tout seul. Une honte pour une application de livraison","franchement service catastrophique ! glovo c est vraiment de pire en pire. aucun service client, aucune assistance, personne pour répondre en cas de problème. tu paies, tu attends et s il y a un souci débrouille-toi tout seul. une honte pour une application de livraison",negative,0,Glovo,1
Impossible de s'identifier même si je rentre ou je scanne le numéro de carte de fidélité,impossible de s'identifier même si je rentre ou je scanne le numéro de carte de fidélité,negative,0,Marjane,1
Application téléchargée ce jour 19 juillet 2020 vers 22 h et chaque fois on me demande la mise à jour.,application téléchargée ce jour juillet vers h et chaque fois on me demande la mise à jour.,negative,0,Marjane,1
"facile, rapide et accessible c'est vraiment agréable de commander","facile, rapide et accessible c'est vraiment agréable de commander",positive,2,Jumia,5
Cette application souvent en panne meme aujourd'hui,cette application souvent en panne meme aujourd'hui,positive,2,CIH Mobile,4
Merci infiniment pour ce service.,merci infiniment pour ce service.,positive,2,Attijari Mobile,5
"l'application fonctionne bien, elle très utile et facile à utiliser, merci.","l'application fonctionne bien, elle très utile et facile à utiliser, merci.",positive,2,CIH Mobile,5
Très bonne jeux,très bonne jeux,positive,2,BMCE Direct,5
J aime vraiment l application,j aime vraiment l application,positive,2,Glovo,4
je veux que vous soyez rassuré que tout fonctionne correctement avant l'expédition merci,je veux que vous soyez rassuré que tout fonctionne correctement avant l'expédition merci,positive,2,Jumia,5
à développer l interface utilisateur,à développer l interface utilisateur,neutral,1,Attijari Mobile,3
je trouve Jumia très cool,je trouve jumia très cool,positive,2,Jumia,5
"application exécrable, très mauvais service client","application exécrable, très mauvais service client",negative,0,My inwi,1
il faut que je reçois les couverts quand je les demandes,il faut que je reçois les couverts quand je les demandes,positive,2,Glovo,4
Le délai de livraison est trop rapide j’adore,le délai de livraison est trop rapide j adore,positive,2,Glovo,5
"Application theoriquement tres utile ,mais la derniere mise a jour pose probleme : on ne voit plus rien. le details des transactions ,virements et versements ont disparu ! Ca sert a quoi alors ? Il faudra changer de devellopeur ,desole.","application theoriquement tres utile ,mais la derniere mise a jour pose probleme on ne voit plus rien. le details des transactions ,virements et versements ont disparu ! ca sert a quoi alors ? il faudra changer de devellopeur ,desole.",negative,0,BMCE Direct,1
C'est bien dommage qu'on ne peut pas acheter ou bien commander sur l'appliquation des articles concernant les petits électroménagers,c'est bien dommage qu'on ne peut pas acheter ou bien commander sur l'appliquation des articles concernant les petits électroménagers,neutral,1,Marjane,3
"Toujours bloqué, maintenant je suis bloqué je n arrive pas à l'ouvrir ça fait 5 jours","toujours bloqué, maintenant je suis bloqué je n arrive pas à l'ouvrir ça fait jours",negative,0,Attijari Mobile,1
pire livraison de tout les temps,pire livraison de tout les temps,negative,0,Glovo,1
bonne service bonne courage nchalah,bonne service bonne courage nchalah,positive,2,Jumia,5
"Service de livraison a Temara nul commande passser a 11h du matin avec des achats pour le ftour Il est 17h53 est j'ai encore rien reçu, le livreur me dit que c'est marjane le responsable du retard","service de livraison a temara nul commande passser a 11h du matin avec des achats pour le ftour il est 17h53 est j'ai encore rien reçu, le livreur me dit que c'est marjane le responsable du retard",negative,0,Marjane,1
Où trouver mon IDENTIFIANT et MOT DE PASSE??? Merci de répondre!!!..,où trouver mon identifiant et mot de passe? merci de répondre.,negative,0,BMCE Direct,1
Cette application change la vie !,cette application change la vie !,positive,2,inDriver,5
tt va bien bonne expérience,tt va bien bonne expérience,positive,2,Marjane,4
Merci Jumia depuis que j'ai installé cette application je suis toujours fraîche,merci jumia depuis que j'ai installé cette application je suis toujours fraîche,positive,2,Jumia,5
il faut revoir l'option des virements,il faut revoir l'option des virements,negative,0,Attijari Mobile,1
Faire ses courses en ligne ça facilite la vie c'est un gain de temps et quand la livraison est gratuite c'est vraiment intéressant je recommande,faire ses courses en ligne ça facilite la vie c'est un gain de temps et quand la livraison est gratuite c'est vraiment intéressant je recommande,positive,2,Marjane,5
"Chaque fois que je vais à Marjane Salé, on me dit qu’il faut donner mon numéro de téléphone et non le code PIN, donc je ne comprends pas vraiment à quoi sert ce code. Cela devient agaçant.","chaque fois que je vais à marjane salé, on me dit qu il faut donner mon numéro de téléphone et non le code pin, donc je ne comprends pas vraiment à quoi sert ce code. cela devient agaçant.",negative,0,Marjane,1
le transport est cher,le transport est cher,negative,0,Jumia,2
"j'ai me faire des courses chez Marjane , c'est la première fois que je fais des courses a distance , j'espère que tout va très bien passé pour en profiter d'autres courses in cha allah","j'ai me faire des courses chez marjane , c'est la première fois que je fais des courses a distance , j'espère que tout va très bien passé pour en profiter d'autres courses in cha allah",positive,2,Marjane,5
10 fois par jour.. Échec connexion avec le serveur,fois par jour. échec connexion avec le serveur,negative,0,BMCE Direct,1
petit mais très efficace ! 👍🏿👍🏿👍🏿,petit mais très efficace !,positive,2,Jumia,4
c'est simple et efficace et rapide,c'est simple et efficace et rapide,positive,2,Jumia,5
propre eduquer et garcieux,propre eduquer et garcieux,positive,2,inDriver,5
très efficace pour une commande,très efficace pour une commande,positive,2,Jumia,5
ils ont annulé ma commande sans me rembourser,ils ont annulé ma commande sans me rembourser,negative,0,Glovo,1
au top franchement,au top franchement,positive,2,Glovo,5
Bonne aplication me ide boucoupe,bonne aplication me ide boucoupe,positive,2,BMCE Direct,5
Azizi BACHIR LE CONTENUE EST BON MERITE LE DEPLACEMENT.,azizi bachir le contenue est bon merite le deplacement.,positive,2,Marjane,5
Je n ai pas aimé cette application,je n ai pas aimé cette application,negative,0,Orange Money MA,1
tellement pubs excessive j'ai desinstallé cett app,tellement pubs excessive j'ai desinstallé cett app,negative,0,Glovo,1
pratique et innovant mais à améliorer,pratique et innovant mais à améliorer,positive,2,CIH Mobile,4
"je suis une cliente de Marjane depuis plusieurs années,la Plus part de mes matériaux de chez Marjane,alors profitez c'est Plus rassurer. Faîtes confiance. Merci 😘","je suis une cliente de marjane depuis plusieurs années,la plus part de mes matériaux de chez marjane,alors profitez c'est plus rassurer. faîtes confiance. merci",negative,0,Marjane,2
Depuis la dernière mise à jour l'application ne fonctionne pas on me dit c'est en cours de maintenance,depuis la dernière mise à jour l'application ne fonctionne pas on me dit c'est en cours de maintenance,negative,0,My inwi,2
je suis satisfait,je suis satisfait,negative,0,Jumia,2
"Service ça va pas du tout, même en cas de problème aucun agent de support disponible pour traiter le problème","service ça va pas du tout, même en cas de problème aucun agent de support disponible pour traiter le problème",negative,0,Yassir,1
Excellent site de publication,excellent site de publication,positive,2,Avito,5
Je dois voire Esque sa va ou non,je dois voire esque sa va ou non,positive,2,Yassir,5
"j'aime Jumia Sénégal ,très pratique et pleine d'offres.","j'aime jumia sénégal ,très pratique et pleine d'offres.",positive,2,Jumia,5
App pratique et facile,app pratique et facile,positive,2,CIH Mobile,5
Très pratique et sécurisée,très pratique et sécurisée,positive,2,BMCE Direct,5
S’est un bon service merci j’ai se service,s est un bon service merci j ai se service,positive,2,Glovo,5
"Très cool, sauf qu'il y a trop de jours d'attente pour la réception des colis, même dans les points jumia. Revoyez cela !","très cool, sauf qu'il y a trop de jours d'attente pour la réception des colis, même dans les points jumia. revoyez cela !",positive,2,Jumia,4
"Cette application est bien conçue, utile et facile à utiliser.","cette application est bien conçue, utile et facile à utiliser.",positive,2,inDriver,5
@nuuuuuul @réseau nuuuul @J'ai utilisé une recharge. L'entreprise l'a pris sans que j'utilise quoi que ce soit dessus.,nuuuuuul réseau nuuuul j'ai utilisé une recharge. l'entreprise l'a pris sans que j'utilise quoi que ce soit dessus.,negative,0,My inwi,1
meilleur site d'annonce.,meilleur site d'annonce.,positive,2,Avito,5
rien à dire,rien à dire,positive,2,Yassir,5
Nouvelle mise à jours bloque et problématique la rubrique Transfert de scolarité ne fonctionne pas et bugue dés que vous séléctionnez le type de transfert bloque et ne répond pas et ceci durre depuis cette derniére mise à jours. Alors que la version précédente marchait à merveille. Normalement une mise à jours doit améliorer l'ancienne version et non pas le contraire,nouvelle mise à jours bloque et problématique la rubrique transfert de scolarité ne fonctionne pas et bugue dés que vous séléctionnez le type de transfert bloque et ne répond pas et ceci durre depuis cette derniére mise à jours. alors que la version précédente marchait à merveille. normalement une mise à jours doit améliorer l'ancienne version et non pas le contraire,negative,0,Attijari Mobile,2
mauvaise application je suis venu de l'installer dès que j’ai saisie le code secret l’application est ouverte mais j’ai essaye de payer ma facture wifi orange l’application se ferme automatiquement 👎🏽,mauvaise application je suis venu de l'installer dès que j ai saisie le code secret l application est ouverte mais j ai essaye de payer ma facture wifi orange l application se ferme automatiquement,negative,0,Orange Money MA,1
Merci 😘 vous êtes les meilleurs,merci vous êtes les meilleurs,positive,2,CIH Mobile,5
Banque et application nulle et compliqué,banque et application nulle et compliqué,negative,0,BMCE Direct,1
cher développeur j'utilise cette application depuis longtemps et Tous ira bien mais ces derniers mois je n'arrive pas à accéder à mes relevés bancaires sous prétexte que ( autorisation non accordé)s'il vous plaît dites moi ce qui se passe merci à vous cordialement.,cher développeur j'utilise cette application depuis longtemps et tous ira bien mais ces derniers mois je n'arrive pas à accéder à mes relevés bancaires sous prétexte que autorisation non accordé s'il vous plaît dites moi ce qui se passe merci à vous cordialement.,positive,2,Attijari Mobile,4
très bon service excellent bank,très bon service excellent bank,negative,0,CIH Mobile,1
Les opérations tardent à être mis à jour.,les opérations tardent à être mis à jour.,positive,2,BMCE Direct,4
"Négatif, ils m’ont volé 70dt.","négatif, ils m ont volé 70dt.",negative,0,Glovo,1
ses vraiment chic surtout le iphone 17,ses vraiment chic surtout le iphone,positive,2,Jumia,5
"l nouvelle version ne fonction plus, un mise a jour forcé !!","l nouvelle version ne fonction plus, un mise a jour forcé !",negative,0,Attijari Mobile,1
"salam aleykoum j'ai eu un problème de bug sur l'application cih lorsque je voulais m'inscrire en ligne pour avoir mon premier compte sur cih . au début j'ai remplis mes informations et puis je suis arrivé pour scanner ma carte d'identité et ma photo je les ai fais avec succès et lorsque j'attendais la page suivante pour continuer mon inscription là , ça bug donc j'ai dû commencer dès le début et là je trouve que je suis enregistré sur le système donc mon donné de continuer mon inscription,ça bug","salam aleykoum j'ai eu un problème de bug sur l'application cih lorsque je voulais m'inscrire en ligne pour avoir mon premier compte sur cih . au début j'ai remplis mes informations et puis je suis arrivé pour scanner ma carte d'identité et ma photo je les ai fais avec succès et lorsque j'attendais la page suivante pour continuer mon inscription là , ça bug donc j'ai dû commencer dès le début et là je trouve que je suis enregistré sur le système donc mon donné de continuer mon inscription,ça bug",negative,0,CIH Mobile,2
"La dernière mise à jour ne fonctionne pas, j'ai des virements à effectuer et c'est toujours bloqué !!","la dernière mise à jour ne fonctionne pas, j'ai des virements à effectuer et c'est toujours bloqué !",negative,0,CIH Mobile,1
ils annulent derniere minute,ils annulent derniere minute,negative,0,Yassir,1
ça marche très bien,ça marche très bien,positive,2,My inwi,4
"Que la paix soit sur vous et que la miséricorde de Dieu soit sur vous, mais après cela, je pense qu’il y a quelque chose qui ne va pas avec l’application qui ne me donne pas les privilèges d’accéder aux options suggérées dans l’application, telles que la recharge du solde, la vérification du compte, les messages et bien d’autres problèmes. S’il vous plaît, épargnez-nous notre confiance en vous et notre argent également.","que la paix soit sur vous et que la miséricorde de dieu soit sur vous, mais après cela, je pense qu il y a quelque chose qui ne va pas avec l application qui ne me donne pas les privilèges d accéder aux options suggérées dans l application, telles que la recharge du solde, la vérification du compte, les messages et bien d autres problèmes. s il vous plaît, épargnez-nous notre confiance en vous et notre argent également.",negative,0,CIH Mobile,1
Impossible de s'inscrire ou d'utiliser l'application depuis la Belgique...,impossible de s'inscrire ou d'utiliser l'application depuis la belgique.,negative,0,Marjane,2
"Commande passée et payée hier soir, on est 17h26 aujourd'hui je n'ai toujours pas reçu la commande. Service pas à la hauteur.","commande passée et payée hier soir, on est 17h26 aujourd'hui je n'ai toujours pas reçu la commande. service pas à la hauteur.",negative,0,Marjane,1
"application simple à utiliser, service meilleur","application simple à utiliser, service meilleur",positive,2,Yassir,4
Simple et interessant,simple et interessant,positive,2,Avito,5
service nulle 1h en attend la commande est en fin la commande était annulé 👎🏻👎🏻👎🏻👎🏻,service nulle 1h en attend la commande est en fin la commande était annulé,negative,0,Yassir,1
C'est tres pratique,c'est tres pratique,positive,2,Marjane,5
merci pour vos efforts.,merci pour vos efforts.,positive,2,Jumia,5
le service est bon,le service est bon,positive,2,Yassir,5
bonne application pour le vente ou l'achat,bonne application pour le vente ou l'achat,positive,2,Avito,5
très belle application fonctionnelle,très belle application fonctionnelle,positive,2,Attijari Mobile,5
j'ai pas su comment se connecter !!,j'ai pas su comment se connecter !,negative,0,BMCE Direct,1
Application pas intéressante pour.Retard sur la mise a jour des opérations ! !!,application pas intéressante pour.retard sur la mise a jour des opérations ! !,negative,0,BMCE Direct,1
Des conseiller qui ne répond jamais via la messagerie de l'application,des conseiller qui ne répond jamais via la messagerie de l'application,negative,0,BMCE Direct,1
L'application est non téléchargeable,l'application est non téléchargeable,negative,0,BMCE Direct,1
j’ espère que,j espère que,positive,2,Jumia,5
Majdi le meilleur livreur,majdi le meilleur livreur,positive,2,Glovo,5
"Pour moi The best bank ever , le service clientèle ainsi que l'application est super facile et claire merci CIH","pour moi the best bank ever , le service clientèle ainsi que l'application est super facile et claire merci cih",positive,2,CIH Mobile,5
vous êtes vraiment des professionnels bon courage a l'équipe jumia.,vous êtes vraiment des professionnels bon courage a l'équipe jumia.,positive,2,Jumia,5
L'application ne marche plus: Problème de mise à jour.,l'application ne marche plus problème de mise à jour.,negative,0,BMCE Direct,1
"Bonjour, Je souhaite vous signaler un problème rencontré sur l’application CIH Bank avec mon téléphone Xiaomi 14T Pro fonctionnant sous HyperOS. Lorsque j’ouvre l’application : L’application s’affiche en mode plein écran La barre d’état (heure, batterie, réseau) est masquée Certains boutons en haut de l’écran ne sont pas cliquables ou difficiles à atteindre notamment les boutons déconnecter, paramètre, historique, message...","bonjour, je souhaite vous signaler un problème rencontré sur l application cih bank avec mon téléphone xiaomi 14t pro fonctionnant sous hyperos. lorsque j ouvre l application l application s affiche en mode plein écran la barre d état heure, batterie, réseau est masquée certains boutons en haut de l écran ne sont pas cliquables ou difficiles à atteindre notamment les boutons déconnecter, paramètre, historique, message.",negative,0,CIH Mobile,1
"Très mauvais service, articles incorrectes reçus et la solution proposée le Service Client est de me déplacer au magasin à 2h24 le matin pour échanger le produit. L'app sert à quoi si je dois me déplacer tard le soir?","très mauvais service, articles incorrectes reçus et la solution proposée le service client est de me déplacer au magasin à 2h24 le matin pour échanger le produit. l'app sert à quoi si je dois me déplacer tard le soir?",negative,0,Glovo,1
merci de votre réactivité,merci de votre réactivité,positive,2,Marjane,5
Oui je ne peut pas accéder à la publication,oui je ne peut pas accéder à la publication,positive,2,Yassir,4
j'aime beaucoup cette application,j'aime beaucoup cette application,positive,2,inDriver,5
le plus souvent les articles ne sont pas conformes aux images présentées ou encore aux descriptions. cela décourage un peu .,le plus souvent les articles ne sont pas conformes aux images présentées ou encore aux descriptions. cela décourage un peu .,neutral,1,Jumia,3
vous n'avez pas tous les produits qui se trouvent au magasin et vous oubliez toujours les articles chez vous et on sera obligé de réclamer et d'attendre pour les recevoir.,vous n'avez pas tous les produits qui se trouvent au magasin et vous oubliez toujours les articles chez vous et on sera obligé de réclamer et d'attendre pour les recevoir.,neutral,1,Marjane,3
Après la dernière mise à jour le relevé de compte et d'autre tache ne fonctionne pas. Merci de faire le nécessaire,après la dernière mise à jour le relevé de compte et d'autre tache ne fonctionne pas. merci de faire le nécessaire,negative,0,CIH Mobile,2
cette version plis compliqué et aussi les tarifs très cher,cette version plis compliqué et aussi les tarifs très cher,negative,0,Avito,1
dans les normes,dans les normes,positive,2,inDriver,5
retirer ma commande au magasin ne fonctionne pas,retirer ma commande au magasin ne fonctionne pas,negative,0,Marjane,1
je voulais ça pour aujourd'hui,je voulais ça pour aujourd'hui,negative,0,Jumia,2
"je recommande,bonne affaire.","je recommande,bonne affaire.",positive,2,Glovo,5
C'est très sérieux 10/10,c'est très sérieux,positive,2,CIH Mobile,5
Impossible de se connecter au serveur depuis hier sur site et sur l'appli,impossible de se connecter au serveur depuis hier sur site et sur l'appli,negative,0,BMCE Direct,1
"l'application ne s'ouvre plus, l'application ne s'ouvre plus... message d'erreur app_w_0303 ..... combien de fois il faut vous le signaler?","l'application ne s'ouvre plus, l'application ne s'ouvre plus. message d'erreur app_w_0303 . combien de fois il faut vous le signaler?",negative,0,My inwi,1
Le service d'assistance sur WhatsApp ne répond pas au besoin. La réactivité est très lente et la discussion n'est pas claire. On dirait un robot qui ne comprends rien. L'application n'alerte pas en cas de retard ou de non livraison de la commande. En cas de non livraison on es pas contacté pour fixer un autre horaire. A améliorer !,le service d'assistance sur whatsapp ne répond pas au besoin. la réactivité est très lente et la discussion n'est pas claire. on dirait un robot qui ne comprends rien. l'application n'alerte pas en cas de retard ou de non livraison de la commande. en cas de non livraison on es pas contacté pour fixer un autre horaire. a améliorer !,negative,0,Marjane,1
je trouve votre agence très intéressant et merveilles,je trouve votre agence très intéressant et merveilles,neutral,1,Jumia,3
Je peux pas alimenter mon compte plus que 200 dh !!!,je peux pas alimenter mon compte plus que dh !,negative,0,Orange Money MA,2
"Je n'arrive plus à me connecter sur l'application, après avoir changé mon smartphone 😔😔😔","je n'arrive plus à me connecter sur l'application, après avoir changé mon smartphone",negative,0,Marjane,2
toujour retard de la mise jour des opérations effectuée au niveau de l'application BMCE mauvaise application,toujour retard de la mise jour des opérations effectuée au niveau de l'application bmce mauvaise application,negative,0,BMCE Direct,2
"Inwi Idar 4G Servie mediocre, Connexion très lente comme une trortue, prix trop cher, le plus mauvais rapport qualité prix de tout le temps !!!","inwi idar 4g servie mediocre, connexion très lente comme une trortue, prix trop cher, le plus mauvais rapport qualité prix de tout le temps !",negative,0,My inwi,1
service client lamentable vous êtes nuls. j'ai appelé vos services en Octobre pour réduire ma facture on m'annonce et confirme que ça sera pris en compte en novembre mais c'était faux. je rappelle en novembre on me dit que ça sera pris en compte pour décembre on est en janvier je paie tjrs ce que je payais avant.,service client lamentable vous êtes nuls. j'ai appelé vos services en octobre pour réduire ma facture on m'annonce et confirme que ça sera pris en compte en novembre mais c'était faux. je rappelle en novembre on me dit que ça sera pris en compte pour décembre on est en janvier je paie tjrs ce que je payais avant.,negative,0,My inwi,1
Je n'arrive pas á acceder a mon compte..l application me demande de faire la mise à jour...la mise á jour n est pas disponible.. Il me renseigne que mon appareil n edt plus compatible...que faire sans changer l appareil..,je n'arrive pas á acceder a mon compte.l application me demande de faire la mise à jour.la mise á jour n est pas disponible. il me renseigne que mon appareil n edt plus compatible.que faire sans changer l appareil.,positive,2,Attijari Mobile,5
merci beaucoup bank Attijariwafa pour votre service gratuit et rapide 😘😘😘,merci beaucoup bank attijariwafa pour votre service gratuit et rapide,positive,2,Attijari Mobile,5
"Glovo propose de la cuisine chinoise et américaine, de tout, ainsi que des produits de maquillage, une pharmacie et des parfums. Vous trouverez tout ce dont vous avez besoin chez Glovo.","glovo propose de la cuisine chinoise et américaine, de tout, ainsi que des produits de maquillage, une pharmacie et des parfums. vous trouverez tout ce dont vous avez besoin chez glovo.",positive,2,Glovo,5
Ça ira mais la connexion dans notre zone sud est est très fable,ça ira mais la connexion dans notre zone sud est est très fable,positive,2,My inwi,5
"Malheureusement, depuis la dernière mise à jour, l'application rencontre de nombreux problèmes, notamment le paiement de mes factures par empreinte digitale ou la réception d'un code dans la boîte de réception de mon téléphone. Veuillez résoudre ce problème. Merci pour vos efforts.","malheureusement, depuis la dernière mise à jour, l'application rencontre de nombreux problèmes, notamment le paiement de mes factures par empreinte digitale ou la réception d'un code dans la boîte de réception de mon téléphone. veuillez résoudre ce problème. merci pour vos efforts.",negative,0,Attijari Mobile,2
Très bon séjour,très bon séjour,negative,0,Yassir,1
malheureusement il y'a pas la possibilité de mettre zéro étoiles. vous êtes des arnaqueurs et des voleurs vous arnaquer les livreurs qui travaillent avec vous et qui vous aide a réussir votre travaille arrêtez de les Mal traiter.,malheureusement il y'a pas la possibilité de mettre zéro étoiles. vous êtes des arnaqueurs et des voleurs vous arnaquer les livreurs qui travaillent avec vous et qui vous aide a réussir votre travaille arrêtez de les mal traiter.,negative,0,Glovo,1
les virements ne passe pas et reste au niveau de l'historique comme s'ils sont réalisés,les virements ne passe pas et reste au niveau de l'historique comme s'ils sont réalisés,negative,0,CIH Mobile,2
