application,categorie,note,sentiment,avis,date_avis,likes
Attijari Mobile,Banque,1,negative,"Cette application est très mauvaise et fonctionne rarement au moment où nous en avons le plus besoin. De plus, elle ne reflète pas une image professionnelle de la banque. Vous devez améliorer vos services et commencer par optimiser les mécanismes de fonctionnement de l'application pour qu'elle soit plus fluide.""",2026-05-19 20:58:48,1
Attijari Mobile,Banque,1,negative,"À l’attention des responsables de cette application Il est regrettable qu’une institution de cette envergure et disposant de tels moyens financiers présente des problèmes techniques récurrents dans son application bancaire, presque à raison d’une fois par mois. Si vous interrogez les clients, ils confirmeront cette situation vraiment hchouma hadchi",2026-05-19 20:52:01,0
Attijari Mobile,Banque,1,negative,toujours hors service et plein en problèmes techniques,2026-05-19 14:36:28,0
Attijari Mobile,Banque,1,negative,"on ne peut même pas s inscrire, ça bloque à l indicatif du pays. application à revoir. je vis al étranger et je ne peux pas me permettre qu une application bancaire bug a ce niveau là. Dommage, j irai ouvrir un compte ailleurs.",2026-05-16 16:52:44,0
Attijari Mobile,Banque,1,negative,"C'est fou comment le SAV et CRC de la banque mobile ne donne pas de réponse concrète à mon souci!!!! Je dispose d'un téléphone d'une catégorie avancée, dans lequel l'appli est utilisée depuis plus de 6 ans, mais l'accès au compte m'est impossible car, d'après le message d'erreur, il faut que j'accède au playstore pour la MAJ de l'appli. Mais, GRANDE SURPRISE : L'appli est introuvable via le store alors que les appli des autres banques apparaissent. Aucune solution de la banque, ras le bol!!!",2026-05-15 21:23:20,6
Attijari Mobile,Banque,1,negative,"J’ai souscrit au service de carte virtuelle le 12 mai 2026 et le contrat a bien été signé, mais depuis plus de 24h (3 jours) ma carte virtuelle (à usage unique) reste bloquée sur “En cours d’activation”. Pourtant l’application indique que l’activation est censée être instantanée. Impossible donc d’utiliser le service malgré la validation de la demande. Merci de corriger rapidement ce dysfonctionnement technique car c’est très frustrant pour les utilisateurs.",2026-05-15 18:47:12,4
Attijari Mobile,Banque,1,negative,"qd j'essaye d'ouvrir l'app je recois souvent un msg de probleme technique , j'ai demandé autour de moi et c'etait le cas pour plusieurs personne . ceci m'a empeché a plusieurs reprises de faire des virements urgents ou paiement en ligne avec delai tres cours je pense serieusement changer de banque à cause de ca car ce n'est pas normal d'avoir des problemes techniques tout le temps et ne pas pouvoir consulter son compte quand je veux sachant que tous les services sont payants rien n'est gratuit .",2026-05-13 23:40:32,5
Attijari Mobile,Banque,1,negative,"Je tiens à exprimer mon profond mécontentement face à l'incompatibilité de votre application avec mon smartphone Google pixel, qui dispose pourtant de la dernière version d'Android. Il est inadmissible qu'une institution comme la vôtre ne mette pas à jour ses services numériques pour suivre l'évolution des systèmes. Merci de remédier à ce problème sans délai, car cela bloque mes opérations quotidiennes.",2026-05-13 19:22:24,6
Attijari Mobile,Banque,1,negative,للأسف، التحديث الأخير لتطبيق التجاري وفابنك كارثي بكل المقاييس. التطبيق توقف تماماً عن العمل في العديد من الهواتف، مما تسبب في تعطيل مصالح الزبناء ووصولهم لحساباتهم الشخصية. ​أدعو جميع الإخوة الزبناء المتضررين إلى خفض التقييم (نجمة واحدة) وترك تعليقات توضح المشاكل التقنية؛ فهذه هي الوسيلة الوحيدة للضغط على الإدارة لإصلاح العيوب أو سحب النسخة المعيبة من المتجر واستبدالها بنسخة تعمل. لا يمكننا السكوت عن تراجع جودة الخدمات الرقمية لبنك بهذا الحجم,2026-05-13 16:17:09,5
Attijari Mobile,Banque,1,negative,bug,2026-05-11 19:30:39,1
Attijari Mobile,Banque,1,negative,"du jour au lendemain l'application ne s'ouvre plus et absente des applications installées impossible de la mettre à jour !! par curiosité je la cherche dans Google play et là je vois message en rouge ""cette application n'est plus compatible avec votre appareil"" à savoir que je n'ai aucun problème avec toutes les applications des banques françaises et seule d'awb est bloquée sans prévenir et devient incompatible avec mon Android qui n'est pas vieux !! qui a décidé de changer de compatibilité ??",2026-05-11 11:35:02,2
Attijari Mobile,Banque,1,negative,مؤخرا التطبيق لا يعمل جيدا 👎👎,2026-05-09 00:58:17,1
Attijari Mobile,Banque,1,negative,مشاكل تقنية كل يوم ومشاكل للولوج إلى المنصة غير راضي بتاتا على الخدمات الإلكترونية,2026-05-07 16:35:27,1
Attijari Mobile,Banque,1,negative,Des prélèvements non expliquer,2026-05-07 10:36:59,0
Attijari Mobile,Banque,1,negative,"Le béaba de toute institution qui se respecte, et de réaliser une ""enquete marketing"" afin de veiller à connaitre les besoins/attentes de ses clients, afin de mieux les servirs et maintenir leur satisfaction et accès permanent à leurs comptes. Opérer un changement radical (version) sans prévenir via, au moins, la messagerie de l'appli, est effarant vu que c'est à vous de vous adaptez aux clients. Tant d'avis/feedbacks négatifs sur ce point, laissés sans réponse. Chose pourquoi je vous écrit.",2026-05-07 09:07:47,30
Attijari Mobile,Banque,1,negative,Nouvelle mise à jour nulle. on ne peut plus télécharger les relevés mensuels. il faut résoudre ce problème.,2026-05-06 23:47:49,3
Attijari Mobile,Banque,1,negative,problème technique le 06-06-2026 l'application marche pas et on n'a besoin de l'application en urgence c'est pas possible walah,2026-05-06 13:01:44,1
Attijari Mobile,Banque,1,negative,التعدرلات الجديدة ليسة متحة للجميع,2026-05-06 04:44:16,1
Attijari Mobile,Banque,1,negative,après la dernière mise à jour. je n'ai plus l'accès à l'application. j'ai contacté le service client sans résultat. il faut trouver une solution au lieu de nous demander de changer le téléphone .,2026-05-04 14:22:13,2
Attijari Mobile,Banque,1,negative,bonjour. jai un.problem au niveau de mise a jour l app attijari mobile je peux pas ouvrir l application ils me demande la mise a jour et je peux pas aussi faire la mise a jour suite la compatibilité merci de corriger ce bug le plus tot possible des le mois avril que jai pas arriver d utiliser cette app,2026-05-03 20:51:38,1
Attijari Mobile,Banque,1,negative,لا نستطيع تحميل برنامج يجب التحميل ان يتماشى مع جميع الهواتف المحمولة,2026-05-03 13:47:39,2
Attijari Mobile,Banque,1,negative,"Quelle idée d'avoir interdit les captures d'écran sur l'application !!! Avant on pouvait envoyer des preuves de virement avec un simple screenshot, et maintenant ce n'est plus le cas! très déçu. Modification: Le partage n'est disponible sur l'application qu'au moment du virement, après aucun moyen de prouver un mouvement quelconque car justement le screenshot est désactivé.",2026-05-02 11:59:51,4
Attijari Mobile,Banque,1,negative,Problème d accès,2026-04-30 23:50:03,1
Attijari Mobile,Banque,1,negative,elle n'autorise plus capture d'écran sur android alors que c'est toujours possible sur Ios. et pour partager l'avis d'un virement par application il est envoyé en mode Noir,2026-04-30 18:51:45,1
Attijari Mobile,Banque,1,negative,"لم استطع تثبيث التطبيق على هاتفي بداعي ان هاتفي غير مدعوم علما انه على اندويد 12 , فلمادا تفرضون على الزبناء شراء هاتف جديد في حين انها كانت تعمل بشكل جيد هل هدا استعلاء ام احتقار ام خطائ ؟؟؟؟",2026-04-30 12:39:05,0
Attijari Mobile,Banque,1,negative,"​En tant que client fidèle, je tiens à vous faire part de mon profond mécontentement face aux difficultés techniques que je rencontre actuellement avec votre application. ​Depuis quelques jours, l'accès à mon compte est bloqué par un message m'imposant une mise à jour. Bien que j'aie tenté de la réinstaller via le Play Store après avoir supprimé l'ancienne version, un message d'avertissement m'indique désormais que mon téléphone n'est plus compatible avec cette nouvelle version.",2026-04-29 21:20:19,8
Attijari Mobile,Banque,1,negative,"La paix soit sur vous, ceci est la dernière mise à jour de l'application. J'ai du mal à prendre une photo au sein de l'application, car cela est considéré comme relevant de la vie privée de l'utilisateur de l'application, et une personne n'a pas le droit d'être privée de cette fonctionnalité.",2026-04-29 19:39:34,5
Attijari Mobile,Banque,1,negative,"manipulation devient très très lent , on se connecte reste bloqué un moment pour s'ouvrir , faire une action , se bloque et pas besoin de b prendre le justif car la banque ne veut pas qu'on prend le justif et reste bloqué. s'il y a un problème , vaut mieux ne pas donner accès et afficher un message d'excuse au lieu de laisser les clients l'espoir de faire des opérations..",2026-04-29 18:21:49,0
Attijari Mobile,Banque,1,negative,très bonne application,2026-04-29 17:47:20,0
Attijari Mobile,Banque,1,negative,application tres null mauvaise expérience,2026-04-29 17:46:04,0
Attijari Mobile,Banque,1,negative,application qui beug chaque 2-3 jours il y a toujours un message d'erreur dès qu'on se connecte et c'est lent à charger,2026-04-29 17:27:21,2
Attijari Mobile,Banque,1,negative,"Je souhaite signaler plusieurs problèmes concernant l’application bancaire Attijari. L’application ne permet pas de faire des captures d’écran des opérations, ce qui complique le suivi et la conservation des preuves de transactions. De plus, l’application présente fréquemment plusieurs dysfonctionnements et bugs qui rendent son utilisation difficile et peu fiable. Je vous demande de bien vouloir améliorer la stabilité de l’application et de revoir la restriction concernant les captures d’écran,",2026-04-29 17:17:57,2
Attijari Mobile,Banque,1,negative,"l'application change avec cette version 6.1 mais pour le pire Trop de bug, trop de problèmes techniques, même parfois des virements qui s'effectuent doublement.",2026-04-28 17:18:16,4
Attijari Mobile,Banque,1,negative,l'application n'a pas compatible avec mon téléphone à denier mise à jour :(,2026-04-28 15:24:15,1
Attijari Mobile,Banque,1,negative,rien ne marche plus chez vous on n arrive plus à payer nos factures ni voir nos factures favorites c est décevant,2026-04-28 13:42:06,0
Attijari Mobile,Banque,1,negative,"d'après la dernière mise a jour j'arrive plus a accéder a mon compte ,j'ai essayé aussi de l'ouvrirai sur mon laptop mais , l'opération de l'envoie du sms n'est pas exécuté il faut que vous penser a trouver une solution",2026-04-27 22:55:45,0
Attijari Mobile,Banque,1,negative,De n'importe quoi le dernier mise à jour ça marche plus...,2026-04-27 17:27:20,1
Attijari Mobile,Banque,1,negative,"depuis la dernière mise à jour 04/2026, l'appli ne fonctionne plus sur android 16",2026-04-27 15:08:34,1
Attijari Mobile,Banque,1,negative,Impossible de faire des recharge du solde telephonique l'etape du choix du compte pour payer ne fonctionne pas. Anomalie à regler svp,2026-04-23 01:22:37,0
Attijari Mobile,Banque,1,negative,"En effet, cette nouvelle version ne semble pas être compatible avec plusieurs appareils mobiles, ce qui empêche un grand nombre d’utilisateurs d’accéder à leurs comptes bancaires dans de bonnes conditions. Cette situation crée une réelle gêne au quotidien et risque, à terme, de faire perdre la confiance de nombreux clients.",2026-04-22 23:12:01,3
Attijari Mobile,Banque,1,negative,mis à jour nul vous avez enlever la capture d'écran,2026-04-22 22:34:41,1
Attijari Mobile,Banque,1,negative,عندي مشكله فى ارسال المال من التطبيق يعطيني التطبيق انا هناك عطل تيقني المرجو اعاده لاحقا هذه سته ايام وهذا المشكل في التطبيق,2026-04-22 17:29:24,0
Attijari Mobile,Banque,1,negative,أجد صعوبة في تحميل التطبيق الخاص بالتجاري موبيل بعد أن سحبته لانعدام الولوجية اليه حيث وصلتني رسالة تطلب مني تحميل نسخة حديثة للتطبيق والان انا بدون هذا التطبيق علما اني تواصلت مع وكالتي البنكية دون جدوى للاسف,2026-04-20 21:01:13,1
Attijari Mobile,Banque,1,negative,le dernier mise à jour catastrophique pourquoi avez-vous désactivé l'option de screenshots ???,2026-04-20 16:36:57,0
Attijari Mobile,Banque,1,negative,"Le pire service client et le comportement le plus déplorable. J'ai dû faire face à l'annulation de ma carte bancaire et à des prélèvements arbitraires et illégaux, car le service « dotation » a été activé sans que je l'aie demandé ; de plus, mon forfait bancaire lbanklik a été résilié.",2026-04-19 18:37:32,1
Attijari Mobile,Banque,1,negative,telephone incompatible depuis la dernière mise à jour !,2026-04-19 11:15:52,2
Attijari Mobile,Banque,1,negative,je n'arrive pas à accéder à mon compte facilement. Il faut plusieurs tentative.,2026-04-19 04:18:06,1
Attijari Mobile,Banque,1,negative,كاين مشكل تقريبا 15 يوم انا و العديد من اصدقاء لا يمكن اضافة مستفيد جديد,2026-04-18 01:08:12,2
Attijari Mobile,Banque,1,negative,"Depuis la dernière mise à jour, l'application ne fonctionne plus, elle me dit application incompatible, or il est indiqué qu'elle fonctionne sous Android 9 et ultérieure, je suis sous Android 12 et ça ne marche pas, ce n'est pas sérieux de mettre des mises à jour sans les vérifier.",2026-04-17 13:05:39,1
Attijari Mobile,Banque,1,negative,"l nouvelle version ne fonction plus, un mise a jour forcé !!",2026-04-16 20:31:47,1
Attijari Mobile,Banque,1,negative,l'appli m'oblige à changer de téléphone !,2026-04-16 16:46:00,1
Attijari Mobile,Banque,1,negative,jarrive pas a acceder acceder a mon compte,2026-04-16 11:25:34,1
Attijari Mobile,Banque,1,negative,i like so application,2026-04-15 23:34:26,0
Attijari Mobile,Banque,1,negative,"Depuis la dernière mise à jour du 06 avril 2026, malheureusement l'application ne fonctionne pas sur les téléphones Huawei. Il faut penser aux clients qui utilisent les smartphones sans les services de google et mettez à leurs dispositions le téléchargement de l'application via l'AppGallery des téléphone Huawei.",2026-04-15 15:40:11,1
Attijari Mobile,Banque,1,negative,la mise à jour ne supporte Android 8 et rom modifier impossible de télécharger,2026-04-15 13:30:31,2
Attijari Mobile,Banque,1,negative,"Je n'arrive plus à accéder à mon application bancaire depuis votre dernière mise à jour de sécurité. Je l'ai réessayée plusieurs fois, et je découvre que mon telephone n'est tout simplement pas compatible avec votre nouvelle mise à jour ! Il serait bon de fournir un service qui fonctionne pour tous et de veiller à ne pas de casser les accès sans prévenir à de nombreux utilsateurs !",2026-04-15 12:37:27,18
Attijari Mobile,Banque,1,negative,"je dois acheter un autre téléphone version 2026 pour que ça marche ou quoi? bon sang, quand on développe une mise à jour, elle doit être soumise à une validation sérieuse avec les prestataires. c'est quand-même une banque non ? republier une autre, celle là ne marche pas et je ne suis pas le seul.",2026-04-15 01:46:57,6
Attijari Mobile,Banque,1,negative,"Inadmissible. J'ai un Samsung Z Fold5, l'un des téléphones les plus récents du marché, et l'application affiche 'non compatible'. Il serait temps de mettre à jour vos builds pour les nouveaux processeurs et formats d'écran.",2026-04-14 09:53:33,2
Attijari Mobile,Banque,1,negative,L'application ne fonctionne plus sur mon téléphone Huawei y2019. Je ne sais pas pq ? Avant était parfaite,2026-04-13 18:29:26,1
Attijari Mobile,Banque,1,negative,"starts getting blocked by itself constantly,, i have to go to the bank agency to unblock it temporarily, which is very frustrating... it doesn't accept the fingerprint nor the passcode .. it used to be smooth . CIH don't have this silly problem. vous devez résoudre ce problème majeur qui nous laisse paralysés de payer nos factures, faire des transferts, des transactions bancaires, et tout, on ait totalement cripplés .. changer de bank apparemment est le meilleur choix unfortunately.",2026-04-13 17:01:18,1
Attijari Mobile,Banque,1,negative,zirouuuuuu application,2026-04-13 15:25:46,0
Attijari Mobile,Banque,1,negative,svp j ai un Redmi note11 pro problème installation me dis non compatible résoudre le problème svp,2026-04-13 10:37:09,1
Attijari Mobile,Banque,1,negative,"je ne peut plus ouvrir l'appli, on me demande de la mettre a jour, j'essaie un millier de fois, et après je découvre que mon appareil n'est plus compatible avec cette appli et tout cela sans être avisé, vous traiter vos clients comme s'ils vous sont redevable, c'est du n'importe quoi.",2026-04-13 09:59:06,2
Attijari Mobile,Banque,1,negative,stopped working,2026-04-13 08:57:37,1
Attijari Mobile,Banque,1,negative,السلام عليكم. بعد اخر تحديث لم اعد استطيع استخدام التطبيق بدعوى ان هاتفي incompatible avec la nouvelle version.. هل تطلبون تغيير هواتفنا لمجرد استخدام تطبيق يخصنا .... مع الاسف عندما قدمت شكوى عبر الايميل لم يرد احد و في الوكالة قيل لي بوقاحة غيري الهاتف لا حل اخر..,2026-04-13 08:55:12,1
Attijari Mobile,Banque,1,negative,Publicités répétitives. Notifications ennuyantes.,2026-04-13 08:18:11,0
Attijari Mobile,Banque,1,negative,mon téléphone ne supporte plus la nouvelle version. quoi faire stp ?,2026-04-12 19:45:49,2
Attijari Mobile,Banque,1,negative,la mise à jour de l'application ne fonctionne plus sur mon portable. comment faire ?,2026-04-12 16:13:24,2
Attijari Mobile,Banque,1,negative,Malheureusement ne fonctionne pas sur les téléphones Huawei !!!,2026-04-12 10:20:52,2
Attijari Mobile,Banque,1,negative,App bloquée sur Honor !,2026-04-12 00:27:21,2
Attijari Mobile,Banque,1,negative,"Les développeurs vous êtes sérieux !!!! Du jour au lendemain, l'application a cessé de prendre en charge les téléphones Huawei, au mépris des besoins des clients !! . Je serai contraint de changer de banque en raison de ces agissements non professionnels et irresponsables.",2026-04-11 22:59:09,2
Attijari Mobile,Banque,1,negative,"avec cette nouvelle mise à jour imposée depuis ce 6 avril 2026, plus possible d'accéder à l'application avec un message qui me force à faire la mise a jour quand je veux valider avec mon emprunt. pourtant j'ai un android 14 et cette dernière version n'est pas compatible à mon appareil.",2026-04-11 20:24:42,3
Attijari Mobile,Banque,1,negative,"Toujours bloqué, maintenant je suis bloqué je n arrive pas à l'ouvrir ça fait 5 jours",2026-04-11 19:28:52,2
Attijari Mobile,Banque,1,negative,La nouvelle version de L'application ne fonctionne pas sur mon téléphone,2026-04-11 16:18:15,2
Attijari Mobile,Banque,1,negative,pas marche pou samsung a 51,2026-04-11 11:45:52,2
Attijari Mobile,Banque,1,negative,👎 موضفون فاشلون,2026-04-10 22:24:19,1
Attijari Mobile,Banque,1,negative,Je voudrais mettre à jour mon application et vous me disais que mon tele n est pas compatible avec votre application c du n importe quoi,2026-04-10 09:13:48,0
Attijari Mobile,Banque,1,negative,"je ne peut plus ouvrir l'appli, on me demande de la mettre a jour, j'essaie un millier de fois, et après je découvre que mon appareil n'est plus compatible avec cette appli et tout cela sans être avisé, vous traiter vos clients comme s'ils vous sont redevable, c'est du n'importe quoi, je veux un service qui soit a la hauteur des frais que vous nous imposer.",2026-04-09 20:38:53,20
Attijari Mobile,Banque,1,negative,mise a jour ko,2026-04-09 16:27:07,2
Attijari Mobile,Banque,1,negative,j'ai un sumsung galaxie et je ne peux plus installer attijari mobile un message apparaît disant mon appareil nest pas compatible avec cette version,2026-04-09 16:22:42,2
Attijari Mobile,Banque,1,negative,Bonjour cette mise à jour me dessus car mon téléphone n'est pas compatible aider moi s'il vous plaît merci,2026-04-09 15:32:01,2
Attijari Mobile,Banque,1,negative,"La dérnière Mise à jour n'est compatible avec tous les mobiles, je crois que vos developpeurs doivent developper de telle façon à ce que la mise à jour s'adapte à toutes les gammes de mobiles et non pas le contraire. Je suis déçu mes opérations en attente la fluidité des services d'avant est perdue. Réclamation téléphonique sans sort on me demande d'adapter mon téléphone avec la dérnière mise à jour de l'application c'est absurde et décevant.!",2026-04-09 15:07:40,12
Attijari Mobile,Banque,1,negative,manque de mise a jour samsung s24,2026-04-09 14:12:17,2
Attijari Mobile,Banque,1,negative,بعد التحديث الأخير لم أستطع دخول التطبيق بسبب أن الهاتف غير ملائم,2026-04-09 12:47:23,2
Attijari Mobile,Banque,1,negative,"ce matin, l'appl.marche normalement , ce soir elle ne demarre pas. elle affiche : l'application n'est plus compatible avec votre telephone. C'est quoi ça....",2026-04-08 20:57:02,2
Attijari Mobile,Banque,1,negative,j'ai perdu l' accès à mon service pour incompatibilité avec mon appareil c est dénigrant,2026-04-08 20:03:38,2
Attijari Mobile,Banque,1,negative,Application ne marche plus sur mon smartphone huawei mate 20 apres la derniere mis a jour 6.9,2026-04-08 18:34:01,1
Attijari Mobile,Banque,1,negative,Cette mise à jour est mauvaise car il est impossible de faire une capture d'écran et de l'envoyer à la personne à qui l'on a envoyé l'argent.,2026-04-08 03:11:35,2
Attijari Mobile,Banque,1,negative,à cause de problèmes techniques au niveau d'application,2026-04-07 19:07:48,2
Attijari Mobile,Banque,1,negative,pourquoi vous avez bloqué les captures d'écran,2026-04-07 12:29:51,0
Attijari Mobile,Banque,1,negative,Dernière mise à jour ne permet pas la capture d'écran,2026-04-06 19:05:22,1
Attijari Mobile,Banque,1,negative,Les dernières mises à jour sont catastrophiques. Toujours le message : Votre accès nécessite une vérification...,2026-04-06 11:05:23,5
Attijari Mobile,Banque,1,negative,غير راضي على الخدمات المقدمة من طرف هذا التطبيق وكذا الوكالة البنكية الفاتح حسابي معها,2026-04-05 23:43:07,0
Attijari Mobile,Banque,1,negative,application bug,2026-04-05 20:16:29,0
Attijari Mobile,Banque,1,negative,غير جيد قاموا لإزالة منع التقاط سكرين شوت,2026-04-05 02:17:47,0
Attijari Mobile,Banque,1,negative,service lamentable. banque a éviter,2026-04-01 13:16:55,0
Attijari Mobile,Banque,1,negative,"Bonjour, L'application fonctionne mal depuis hier soir. Elle n'est pas à jour, les dernières opérations sur l'application datent du 30/03/2026. En plus quand je veux exécuter une opération, elle m'affiche :""un problème technique est survenu, veuillez réessayer"".",2026-04-01 09:05:42,8
Attijari Mobile,Banque,1,negative,toujours j'ai trouvé mon solde est égal à 0,2026-03-22 11:47:15,0
Attijari Mobile,Banque,1,negative,application ne marche plus depuis hier,2026-03-19 09:27:08,0
Attijari Mobile,Banque,1,negative,service client néant j'envoie entre 200 et 300 fois la même demande la seule réponse c'est si vous répondez pas dans les 48 h la discussion sera clôturé mais en aucun cas ils répondent à ma demande.,2026-03-06 17:24:00,0
Attijari Mobile,Banque,1,negative,l'App se bloque souvent,2026-03-04 14:48:04,0
Attijari Mobile,Banque,1,negative,Banque d'Escroc facturation de frais abusif ou non justifié. Service client déplorable qui ne résout rien à part faire perdre votre temps et votre argent dans des frais téléphoniques.,2026-03-04 03:30:01,3
Attijari Mobile,Banque,1,negative,"depuis la dernière mise à jour l'application ce bloque a chaque fois que la notification de secours attijariwafa,et j'ai obligé de d'installer l'application, et l'installe de nouveau, merci de régler ce problème",2026-02-28 14:51:44,1
Attijari Mobile,Banque,1,negative,une grosse galère avec atijary tu fais des réclamations ils ne répondent jamais tu appelle le numéro de telephone surtaxé il te dise qu'ils n ont pas accès à ton compte donc je ne comprend pas pourquoi ils sont là et après il te dise apeler l agence au maroc moi ces sidi slimane ils ne répondent jamais donc à eviter et moi je compte fermer mon compte chez eux,2026-02-26 18:42:41,3
Attijari Mobile,Banque,1,negative,ila y'a un problème de conex vers l'application presque 5jour maintenant,2026-02-26 16:06:10,2
Attijari Mobile,Banque,1,negative,L'application est de plus en plus vers le pire. des bugs et accès impossible,2026-02-25 22:36:03,1
Attijari Mobile,Banque,1,negative,une application nul...الناس تمشي و تحسن و نتوما راجعين لتالي عاد كي كانت فمة التطبيقية القديمة كانت اهون ياسر من هذي,2026-02-25 13:44:30,0
Attijari Mobile,Banque,1,negative,خدمات صفر تخيل فتح حساب وافا بورص أكمل شهر ولم يرسلو لي الرقم السري مستخدم البنك شارع الحسن الثاني ديور الجامع الرباط المستخدم بالبنك لا يجيب على الهاتف و يتماطل غدفي أداء واجبه. كنصح لي باغي يفتح حساب بنكي غير يبعد من هاذ التجاري لأنهم لا يقدرون الزبناء,2026-02-25 12:37:39,1
Attijari Mobile,Banque,1,negative,Que se passe-t-il depuis la dernière mise à jour ??? L'appli ne s'ouvre plus. Merci de corriger le bug rapidement!,2026-02-24 12:11:32,6
Attijari Mobile,Banque,1,negative,vente forcèe cotisations retirèe soit disant par erreur. services reclqmations nuls.. lent et prends les gens pour des cons,2026-02-24 09:45:33,0
Attijari Mobile,Banque,1,negative,application ne fonctionne plus depuis la mise a jour,2026-02-23 18:51:16,2
Attijari Mobile,Banque,1,negative,après la dernière miseà jour je n'arrive pas à ouvrir l'application sur mon smartphone,2026-02-23 12:48:28,2
Attijari Mobile,Banque,1,negative,bonjour j'ai un problème au niveau d'application il me demande de contacté le CRC pour une verification d' accès a mon compte sur l'application attijari mobile j'ai déjà contacté mon agence mais sans réponse j'utilise maintenant l'bankalik,2026-02-23 11:58:16,2
Attijari Mobile,Banque,1,negative,depuis vendredi j ai un blocage au niveau de l application soit disant problème qui nécessite une vérification j ai appelé mon.agence et le crc et rien j ai des connaissances qui ont accès à l application et moi non pourquoi,2026-02-23 10:05:24,4
Attijari Mobile,Banque,1,negative,bonjour c'est jour si je n'ai plus accès a mon compte quand j'ouvre l'application en me dis que comme quoi mon accès nécessite une vérification alors que mes coordonnées sont exacte.,2026-02-22 02:39:20,15
Attijari Mobile,Banque,1,negative,la mise a jour de l' application a bloqué l'accès et demande que l' on contacte la banque ou crc . imaginez si je ne l'avais pas dans un autre portable dont j'avais bloqué les mis a jour automatiquement. vous devez vous assurer du fonctionnement de l application avant de la mettre sur playstore. ne fait pas la mis a jours,2026-02-22 00:15:12,21
Attijari Mobile,Banque,1,negative,Comme demandé ; j'ai mis à jour l'application et puis je ne peux plus y accéder. À chaque fois que je veux l'ouvrir; elle se ferme sur le champ.,2026-02-21 14:34:00,6
Attijari Mobile,Banque,1,negative,ne fonctionne plus après la dernière mise à jour 😡😡😡😡,2026-02-21 14:03:58,3
Attijari Mobile,Banque,1,negative,c qoi le problème de verification,2026-02-21 12:27:05,3
Attijari Mobile,Banque,1,negative,"Bug depuis la dernière mise à jour du 18 février. Elle reste figée sur l'écran de démarrage avec un message qui dit ""vôtre accès nécessite une vérification. Contactez vôtre agence ou le CRC""! Je l'ai vite desinstallée, espérant bientôt une nouvelle version corrigée...",2026-02-20 14:14:05,19
Attijari Mobile,Banque,1,negative,GROS BUG depuis la dernière version de 2026 ! On ouvre l'application et elle se referme automatiquement !!! c'est tres ennuyant il faut vite rectifier ca !,2026-02-20 08:59:36,14
Attijari Mobile,Banque,1,negative,Depuis la dernière mise à jour l'application est bloquée,2026-02-20 07:00:48,7
Attijari Mobile,Banque,1,negative,après la mise a jour l application ne fonctionne plus affiche le message vérification obligatoire,2026-02-19 18:47:01,7
Attijari Mobile,Banque,1,negative,dotation internationale impossible a activé,2026-02-19 13:00:34,0
Attijari Mobile,Banque,1,negative,"l'application ne marche plus je met mon mot de passe et l'application ne s'ouvre pas, un popup s'ouvre : l'authentification ne marche pas ! Merci a un responsable de bien vouloir me contacter",2026-02-16 09:36:30,3
Attijari Mobile,Banque,1,negative,l ancienne version est 10000 fois mieux,2026-02-10 13:34:20,1
Attijari Mobile,Banque,1,negative,التطبيق كان يعمل في هاتفي القديم الآن مع هاتف جديد تظهر رسالة باللون الأحمر غير متطابق مع النسخة الحالية,2026-02-09 00:51:18,0
